iteration,total_loss,policy_loss,value_loss,positions,positions_per_second,replay_size,black_wins,white_wins,draws
1,1.9850565725564957,1.53248508810997,0.42706556752324104,1044,2.134968483337579,1044,26,6,0
2,1.7931441628932954,1.3955655932426452,0.3936963829398155,989,2.343409310569197,2033,25,7,0
3,1.7217753916978835,1.3227427679300308,0.39847897440195085,1063,2.345862591357448,3096,25,7,0
4,1.7175853139162063,1.308053748011589,0.40944003745913504,1241,2.041827377264955,4337,27,5,0
5,1.7381676667928696,1.2954643398523331,0.44263997077941897,1159,2.130075748804586,5496,19,13,0
6,1.7145090866088868,1.2860092109441756,0.42849302276968954,1208,2.115841268349904,6704,24,8,0
7,1.7265119802951814,1.2879545485973358,0.4385395531356335,1282,1.8313944816317103,7986,22,10,0
8,1.7250859498977662,1.2877893072366715,0.4372779268026352,1239,2.151702062449773,9225,23,9,0
9,1.7080774182081222,1.2802440822124481,0.42783333390951156,1047,2.33153007241691,10272,25,7,0
10,1.7065836882591248,1.2849897301197053,0.4215939584374428,1146,1.932634447575756,11418,26,6,0
11,1.687024792432785,1.275054423213005,0.4119703729450703,1045,2.142614409218109,12463,23,9,0
12,1.6873157346248626,1.2709382855892182,0.41637745007872584,1201,2.0395111278430043,13664,23,9,0
13,1.6851776856184006,1.2664698964357377,0.41870778903365136,1176,2.119485761875359,14840,22,10,0
14,1.6761993724107742,1.2609467613697052,0.4152526119351387,1145,2.129509641891982,15985,25,7,0
15,1.6753416442871094,1.2617102313041686,0.41363141268491743,1261,2.0621625615566432,17246,23,9,0
16,1.6681152254343032,1.2608322292566299,0.40728299573063853,1011,2.2817826511102184,18257,25,7,0
17,1.6773146098852159,1.2635998243093491,0.41371478259563443,1211,2.1479536750200627,19468,21,11,0
18,1.6636576133966445,1.259210175871849,0.4044474394619465,1072,2.1293633894532666,20540,24,8,0
19,1.6638172298669816,1.2610714721679688,0.4027457603812218,1048,2.1160936429265127,21588,28,4,0
20,1.6479420059919356,1.2477833342552185,0.400158674120903,1075,2.2081744060092436,22663,21,11,0
21,1.6550819677114488,1.2476211184263228,0.4074608473479748,1080,1.9743622852867138,23743,26,6,0
22,1.645400692820549,1.24381487429142,0.4015858183801174,972,2.4534644607004568,24715,22,10,0
23,1.6427960366010665,1.2425727438926697,0.40022329077124597,1095,2.2581577810502407,25810,25,7,0
24,1.6323471301794052,1.2373422360420228,0.395004892796278,1133,1.99833813695796,26943,25,7,0
25,1.6259999334812165,1.2317752158641815,0.39422472029924394,1015,2.099700535164773,27958,25,7,0
