step,total_loss,policy_loss,value_loss,safe_margin_loss,learning_rate
1,1.3442,1.2117,0.2213,0.0437,1e-07
25,1.4251,1.2594,0.1766,0.1546,1.3e-06
50,1.3851,1.2717,0.1892,0.0372,2.55e-06
75,1.6543,1.3828,0.1813,0.3608,3.8e-06
100,1.596,1.3269,0.2027,0.334,5e-06
125,1.5987,1.2371,0.2294,0.4914,4.98742e-06
150,1.4584,1.2907,0.213,0.1187,4.94986e-06
175,1.5488,1.2642,0.2521,0.3115,4.88777e-06
200,1.5138,1.2498,0.2068,0.3135,4.80194e-06
225,1.3155,1.1358,0.1855,0.1646,4.69345e-06
250,1.3166,1.1813,0.1869,0.0742,4.56366e-06
275,1.5437,1.2537,0.2459,0.324,4.41421e-06
300,1.2996,1.152,0.2155,0.0658,4.24698e-06
325,1.2702,1.132,0.1657,0.0962,4.06406e-06
350,1.3026,1.1103,0.1914,0.1768,3.86777e-06
375,1.3385,1.1322,0.172,0.2182,3.66056e-06
400,1.2657,1.1436,0.1499,0.0768,3.44504e-06
425,1.2936,1.1244,0.1447,0.1766,3.22393e-06
450,1.2429,1.1216,0.1382,0.0823,3e-06
475,1.2256,1.0355,0.2009,0.1538,2.77607e-06
500,1.2998,1.1328,0.1505,0.1604,2.55496e-06
525,1.3313,1.0596,0.1988,0.3214,2.33944e-06
550,1.2988,1.1045,0.1702,0.194,2.13223e-06
575,1.0888,0.9421,0.1872,0.0817,1.93594e-06
600,1.2363,1.1011,0.1666,0.0737,1.75302e-06
625,1.4615,1.1406,0.1869,0.425,1.58579e-06
650,1.2326,1.0702,0.181,0.1045,1.43634e-06
675,1.1684,1.0337,0.1783,0.051,1.30655e-06
700,1.1265,0.9772,0.1731,0.0917,1.19806e-06
725,1.262,1.0951,0.2319,0.0625,1.11223e-06
750,1.2844,1.0821,0.1815,0.1841,1.05014e-06
775,1.2176,1.0403,0.1658,0.1417,1.01258e-06
800,1.1824,0.9865,0.2106,0.14,1e-06
